,기초지자체,기타관광,레저스포츠,문화관광,쇼핑,숙박,역사관광,음식,자연관광,체험관광,외부방문자 수
0,서울특별시 강남구,4681899.0,253332.91666666666,27999477.0,29437557.0,28349901.0,2172534.152777778,98575116.91666667,0.0,7660.0,191488692.0
1,서울특별시 강동구,86946.0,257435.91666666666,5863096.0,9500638.0,2338230.0,876583.1527777778,25408817.916666668,0.0,17301.0,44360264.0
2,서울특별시 강북구,419085.0,119375.99999999999,2505485.0,6420236.0,3277662.0,3538251.0,11829140.0,154548.0,564.0,28202221.0
3,서울특별시 강서구,25319180.0,831530.9166666666,5323442.0,16538216.0,4454421.0,298894.15277777775,15961711.916666666,0.0,12375.0,68751676.0
4,서울특별시 관악구,20944.0,116978.0,4175451.0,16565924.0,4156550.0,698803.0,24951156.0,502648.0,3576.0,51082096.0
5,서울특별시 광진구,3321744.0,356093.0,16988076.0,9025195.0,11145648.0,578576.0,18067785.0,23859.0,250518.0,59647049.0
6,서울특별시 구로구,10567.0,94355.0,6617155.0,25993097.0,6166465.0,123636.0,12711235.0,1180880.0,1057.0,52835793.0
7,서울특별시 금천구,0.0,5118.916666666667,2098084.0,15233085.0,2391662.0,416008.15277777775,6237591.916666667,0.0,6864.0,26400951.0
8,서울특별시 노원구,481727.0,2612141.9166666665,4513052.0,28106131.0,960941.0,380798.15277777775,13169414.916666666,35839.22222222222,6537.0,50284702.0
9,서울특별시 도봉구,58644.0,101900.91666666667,2411479.0,11375135.0,1254043.0,296285.15277777775,10590304.916666666,74256.22222222222,524.0,26180431.0
10,서울특별시 동대문구,461397.0,363861.0,2205633.0,21513487.0,2541152.0,342461.0,18657178.0,102738.0,152719.0,46278501.0
11,서울특별시 동작구,36277.0,626.916666666667,8185103.0,8425983.0,4098356.0,996518.1527777778,26613578.916666668,0.0,967.0,48369595.0
12,서울특별시 마포구,221603.0,180847.91666666666,23979932.0,15400423.0,11368866.0,576526.1527777778,49875927.916666664,9361.222222222223,20331.0,101652955.0
13,서울특별시 서대문구,26777.0,52145.0,11338674.0,15748432.0,8680699.0,2529022.0,32129461.0,64124.0,7751.0,70465936.0
14,서울특별시 서초구,5633684.0,183294.91666666666,21203136.0,41037799.0,13746188.0,3540505.152777778,49672302.916666664,1528190.2222222222,12292.0,136574146.0
15,서울특별시 성동구,5726.0,0.0,12970931.0,16772100.0,1062995.0,46508.15277777778,21126138.916666668,41510.22222222222,15096.0,52056551.0
16,서울특별시 성북구,72324.0,1385961.9166666667,2574022.0,14153635.0,1524023.0,3452805.152777778,20391375.916666668,0.0,3485.0,43568414.0
